account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_x,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,churn_event_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,usage_count,ticket_count,is_churned,tenure_days
A-779e4e,Company_193,HealthTech,US,2023-01-02,organic,Basic,5,False,False,S-295bac,2023-07-13,,Enterprise,58,11542,138504,False,False,False,False,monthly,True,,,,,,,,,393,5.0,0,729
A-af0cd2,Company_204,Cybersecurity,IN,2023-01-03,other,Enterprise,19,True,False,S-0f9910,2023-07-10,2024-07-15,Basic,19,0,0,True,False,False,True,monthly,True,C-481838,2023-10-26,unknown,0.0,False,True,False,switched to competitor,687,3.0,1,296
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,S-be05fd,2024-03-23,,Enterprise,20,0,0,True,False,False,False,monthly,True,C-d05e42,2024-06-22,support,0.0,False,False,False,,418,2.0,1,536
A-f19b24,Company_462,Cybersecurity,US,2023-01-10,organic,Pro,29,True,False,S-496c1e,2024-08-20,,Basic,29,551,6612,False,False,False,False,annual,True,,,,,,,,,119,2.0,0,721
A-10b8f2,Company_151,HealthTech,DE,2023-01-11,organic,Basic,47,True,False,S-4a89a7,2023-04-19,,Basic,47,893,10716,False,False,False,False,monthly,False,C-577ffa,2024-06-04,support,0.0,True,False,False,too expensive,560,3.0,1,510
A-ed510f,Company_361,Cybersecurity,IN,2023-01-17,partner,Basic,42,False,False,S-709b46,2023-03-09,,Pro,42,2058,24696,False,False,False,False,annual,False,C-75e17f,2023-05-05,budget,0.0,False,False,False,too expensive,493,9.0,1,108
A-b11cd0,Company_439,DevTools,US,2023-01-20,ads,Pro,26,True,True,S-f7ef84,2023-12-30,,Pro,26,1274,15288,False,False,False,False,annual,True,,,,,,,,,278,4.0,0,711
A-d792a6,Company_486,DevTools,US,2023-01-23,organic,Enterprise,4,False,False,S-276555,2024-01-26,,Pro,36,1764,21168,False,False,False,False,annual,True,C-b8127e,2024-08-13,support,0.0,False,False,False,missing features,690,5.0,1,568
A-b9f5b1,Company_494,Cybersecurity,US,2023-01-24,other,Pro,15,True,False,S-12f05a,2024-06-23,,Basic,15,285,3420,False,False,False,False,annual,False,C-875dc5,2023-07-21,features,0.0,False,False,False,switched to competitor,307,6.0,1,178
A-ff3c73,Company_244,HealthTech,AU,2023-01-26,other,Pro,21,False,False,S-54ac93,2023-10-14,2023-12-10,Enterprise,25,0,0,True,False,False,True,annual,True,C-681c7b,2024-05-09,competitor,2.42,False,False,False,missing features,408,2.0,1,469
A-151c9a,Company_260,FinTech,US,2023-01-27,ads,Enterprise,23,False,False,S-f24609,2023-07-14,,Pro,29,1421,17052,False,False,False,False,monthly,True,C-b6549a,2023-11-04,support,35.6,False,False,False,missing features,366,2.0,1,281
A-3b37d9,Company_384,FinTech,US,2023-01-27,event,Enterprise,23,False,False,S-115510,2024-05-28,,Enterprise,23,0,0,True,False,False,False,monthly,True,C-d39666,2023-12-26,budget,0.0,False,False,False,,451,5.0,1,333
A-c7ffc2,Company_392,Cybersecurity,US,2023-01-27,partner,Pro,30,True,False,S-8a7e47,2024-12-27,,Basic,49,931,11172,False,False,False,False,monthly,False,C-2d0569,2023-11-11,features,174.92,False,False,False,missing features,640,2.0,1,288
